@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.09.03 Linux 64"
@ DATE             %08s "27/08/24"
@ TIME             %08s "02.26.29"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "FULL_RING$START"   "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "R3_BEND$START"     "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM1"               "SBEND"                    1.058978524        1.058978524       0.2617993878      -0.1378300327                  0        1.046923037      -0.2617993878                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_0"           "DRIFT"                    1.658978524                0.6                  0      -0.2931214597                  0        1.626478533      -0.2617993878                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM2"               "SBEND"                    2.717957047        1.058978524       0.2617993878      -0.6972186688                  0        2.602055496      -0.5235987756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_1"           "DRIFT"                    3.317957047                0.6                  0      -0.9972186688                  0        3.121670738      -0.5235987756                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM3"               "SBEND"                    4.376935571        1.058978524       0.2617993878       -1.640044497                  0        3.959417668      -0.7853981634                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_2"           "DRIFT"                    4.976935571                0.6                  0       -2.064308566                  0        4.383681737      -0.7853981634                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM4"               "SBEND"                    6.035914095        1.058978524       0.2617993878       -2.902055496                  0        5.026507565       -1.047197551                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "R3_BEND$END"       "MARKER"                   6.035914095                  0                  0       -2.902055496                  0        5.026507565       -1.047197551                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_3"           "DRIFT"                    8.047186378        2.011272283                  0       -4.643868387                  0        6.032143707       -1.047197551                  0                  0                  0                  0          0          0                  0                  0 ""                 
